cj,doa,dor,gender,name
False,2011-10-10,2018-10-02,M,Hon'ble Mr. Justice Dipak Misra
False,2011-10-10,2018-06-22,M,Hon'ble Mr. Justice Jasti Chelameswar
False,2012-04-23,2019-11-17,M,Hon'ble Mr. Justice Ranjan Gogoi
False,2012-06-04,2018-12-30,M,Hon'ble Mr. Justice Madan B. Lokur
False,2013-03-08,2017-05-27,M,Hon'ble Mr. Justice Pinaki Chandra Ghose
False,2013-03-08,2018-11-29,M,Hon'ble Mr. Justice Kurian Joseph
False,2013-04-12,2019-03-06,M,Hon'ble Mr. Justice A.K. Sikri
False,2013-04-12,2021-04-23,M,Hon'ble Mr. Justice Sharad Arvind Bobde
False,2014-02-17,2018-05-04,M,Hon'ble Mr. Justice R.K. Agrawal
False,2014-02-17,2022-08-26,M,Hon'ble Mr. Justice N.V. Ramana
False,2014-07-07,2020-09-02,M,Hon'ble Mr. Justice Arun Mishra
False,2014-07-07,2018-07-06,M,Hon'ble Mr. Justice Adarsh Kumar Goel
False,2014-07-07,2021-08-12,M,Hon'ble Mr. Justice R.F. Nariman
False,2014-08-13,2019-08-27,M,Hon'ble Mr. Justice Abhay Manohar Sapre
False,2014-08-13,2020-07-19,F,Hon'ble Mrs. Justice R. Banumathi
False,2014-08-13,2017-08-29,M,Hon'ble Mr. Justice Prafulla C. Pant
False,2014-08-13,2022-11-08,M,Hon'ble Mr. Justice Uday U. Lalit
False,2015-02-27,2018-02-28,M,Hon'ble Mr. Justice Amitava Roy
False,2016-05-13,2022-07-29,M,Hon'ble Mr. Justice A.M. Khanwilkar
False,2016-05-13,2024-11-10,M,Hon'ble Dr. Justice D.Y. Chandrachud
False,2016-05-13,2021-07-04,M,Hon'ble Mr. Justice Ashok Bhushan
False,2016-05-13,2022-06-07,M,Hon'ble Mr. Justice L. Nageswara Rao
False,2017-02-17,2023-12-25,M,Hon'ble Mr. Justice Sanjay Kishan Kaul
False,2017-02-17,2023-05-04,M,Hon'ble Mr. Justice Mohan M. Shantanagoudar
False,2017-02-17,2023-01-04,M,Hon'ble Mr. Justice S. Abdul Nazeer
False,2017-02-17,2021-08-18,M,Hon'ble Mr. Justice Navin Sinha
False,2017-02-17,2020-05-06,M,Hon'ble Mr. Justice Deepak Gupta
True,2011-09-13,2017-08-27,M,Hon'ble Shri  J.S. Khehar
False,1950-01-26,1951-09-18,M,Hon’ble Mr. Justice Sir Saiyid Fazl Ali
False,1950-09-23,1953-01-24,M,Hon’ble Mr. Justice N. Chandrasekhara Aiyar
False,1951-05-03,1956-08-06,M,Hon’ble Mr. Justice Vivian Bose
False,1952-08-09,1954-05-11,M,Hon’ble Mr. Justice Ghulam Hasan
False,1952-08-09,1959-06-06,M,Hon’ble Mr. Justice Natwarlal Harilal Bhagwati
False,1953-09-03,1958-07-26,M,Hon’ble Mr. Justice B. Jagannadhadas
False,1954-04-01,1958-11-24,M,Hon’ble Mr. Justice T.L. Venkatarama Aiyyar
False,1955-10-01,1964-01-31,M,Hon’ble Mr. Justice Syed Jaffer Imam
False,1956-04-30,1963-02-09,M,Hon’ble Mr. Justice S.K. Das
False,1956-01-09,1957-10-16,M,Hon’ble Mr. Justice P. Govinda Menon
False,1957-01-14,1962-12-12,M,Hon’ble Mr. Justice J.L. Kapur
False,1959-08-24,1965-02-01,M,Hon’ble Mr. Justice K.C. Das Gupta
False,1960-07-27,1965-10-25,M,Hon’ble Mr. Justice Raghubar Dayal
False,1960-07-27,1964-12-14,M,Hon’ble Mr. Justice N. Rajagopala Ayyangar
False,1960-03-10,1966-03-07,M,Hon’ble Mr. Justice J.R. Madholkar
False,1964-07-09,1969-07-31,M,Hon’ble Mr. Justice R.S. Bachawat
False,1965-04-01,1969-10-29,M,Hon’ble Mr. Justice V. Ramaswami
False,1965-10-20,1966-04-20,M,Hon’ble Mr. Justice P. Satyanarayana Raju
False,1966-02-24,1973-04-30,M,Hon’ble Mr. Justice J.M. Shelat
False,1966-08-08,1971-04-02,M,Hon’ble Mr. Justice Vishishtha Bhargava
False,1966-08-29,1971-09-23,M,Hon’ble Mr. Justice G.K. Mitter
False,1966-10-10,1972-06-29,M,Hon’ble Mr. Justice C.A. Vaidyialingam
False,1967-07-17,1973-04-30,M,Hon’ble Mr. Justice K.S. Hegde
False,1968-11-02,1973-05-31,M,Hon’ble Mr. Justice A.N. Grover
False,1969-01-08,1975-01-22,M,Hon’ble Mr. Justice P. Jaganmohan Reddy
False,1969-01-08,1972-03-10,M,Hon’ble Mr. Justice I.D. Dua
False,1971-07-19,1971-12-11,M,Hon’ble Mr. Justice Subimal Chandra Roy
False,1971-07-19,1974-03-09,M,Hon’ble Mr. Justice D.G. Palekar
False,1971-09-22,1977-11-03,M,Hon’ble Mr. Justice Hans Raj Khanna
False,1971-04-10,1976-02-01,M,Hon’ble Mr. Justice Kuttyil Kurien Mathew
False,1972-08-14,1974-08-12,M,Hon’ble Mr. Justice S.N. Dwivedi
False,1972-08-14,1973-10-23,M,Hon’ble Mr. Justice A.K. Mukherjea
False,1972-10-17,1975-10-16,M,Hon’ble Mr. Justice A. Alagiriswami
False,1973-07-17,1980-11-14,M,Hon’ble Mr. Justice V.R. Krishna Iyer
False,1973-10-09,1977-12-31,M,Hon’ble Mr. Justice P.K. Goswami
False,1973-09-17,1981-01-15,M,Hon’ble Mr. Justice R.S. Sarkaria
False,1974-02-09,1981-12-31,M,Hon’ble Mr. Justice A.C. Gupta
False,1974-03-10,1980-07-31,M,Hon’ble Mr. Justice N.L. Untwalia
False,1975-02-04,1985-08-20,M,Hon’ble Mr. Justice S. Murtaza Fazal Ali
False,1975-06-11,1980-10-14,M,Hon’ble Mr. Justice P.N. Shingal
False,1976-01-23,1979-01-24,M,Hon’ble Mr. Justice Jaswant Singh
